Pond	Seeding Density	Pond Date	Harvest Date	Variety	Board Numbers
P1AB	S#770	08/02/2026	08/19/2026	Astro	160
P1AB	S#770	07/29/2026	08/16/2026	Astro	140
P1AB	S#770	07/26/2026	08/12/2026	Astro	130
P1AB	S#770	07/22/2026	08/12/2026	Watercress	140
P1AB	S#770	07/19/2026	08/09/2026	Watercress	140
P1AB	S#770	7/15/2026	8/5/2026	Watercress	120
P2A	S#770	08/02/2026	08/23/2026	Watercress	190
P2A	S#770	07/29/2026	08/19/2026	Watercress	180
P2A	S#770	07/26/2026	08/16/2026	Watercress	190
P2A	S#770	07/22/2026	08/12/2026	Watercress	180
P2A	S#770	07/19/2026	08/09/2026	Watercress	180
P2A	S#770	7/15/2026	8/5/2026	Watercress	180
P2B	S#330	8/3/2026	8/24/2026	Mixed Version	81
P2B	S#330	8/2/2026	8/23/2026	Mixed Version	81
P2B	S#330	7/30/2026	8/20/2026	Mixed Version	81
P2B	S#330	7/29/2026	8/19/2026	Mixed Version	81
P2B	S#330	7/27/2026	8/17/2026	Mixed Version	81
P2B	S#330	7/26/2026	8/16/2026	Mixed Version	90
P2B	S#330	7/23/2026	8/13/2026	Mixed Version	90
P2B	S#330	7/22/2026	8/12/2026	Mixed Version	81
P2B	S#330	7/20/2026	8/10/2026	Mixed Version	81
P2B	S#330	7/19/2026	8/9/2026	Mixed Version	81
P2B	S#330	7/16/2026	8/6/2026	Mixed Version	81
P2B	S#330	7/15/2026	8/5/2026	Mixed Version	81
P2C	S#330	8/2/2026	08/20/2026	Mixed Version	9
P2C	S#330	8/1/2026	08/19/2026	Mixed Version	10
P2C	S#330	7/16/2026	8/17/2026	Mixed Version	9
P2C	S#330	7/15/2026	8/16/2026	Mixed Version	9
P2C	S#330	7/13/2026	8/13/2026	Mixed Version	11
P2C	S#330	7/12/2026	8/12/2026	Mixed Version	2
P2C	S#330	7/9/2026	8/10/2026	Mixed Version	11
P2C	S#330	7/8/2026	8/9/2026	Mixed Version	7
P2C	S#330	7/6/2026	8/6/2026	Mixed Version	9
