pond,side,density,pond_date,harvest_date,variety,boards
P1,AB,770,2026-07-29,2026-08-19,Astro,140
P1,AB,770,2026-07-26,2026-08-16,Astro,130
P1,AB,770,2026-07-22,2026-08-12,Watercress,140
P1,AB,770,2026-07-19,2026-08-09,Watercress,140
P1,AB,770,2026-07-15,2026-08-05,Watercress,140
P1,AB,770,2026-07-12,2026-08-02,Watercress,140
P2,A,770,2026-07-29,2026-08-19,Watercress,180
P2,A,770,2026-07-26,2026-08-16,Watercress,200
P2,A,770,2026-07-22,2026-08-12,Watercress,180
P2,A,770,2026-07-19,2026-08-09,Watercress,180
P2,A,770,2026-07-15,2026-08-05,Watercress,180
P2,A,770,2026-07-12,2026-08-02,Watercress,180
P2,B,330,2026-07-30,2026-08-20,Mixed Version,81
P2,B,330,2026-07-29,2026-08-19,Mixed Version,81
P2,B,330,2026-07-27,2026-08-17,Mixed Version,81
P2,B,330,2026-07-26,2026-08-16,Mixed Version,81
P2,B,330,2026-07-23,2026-08-13,Mixed Version,81
P2,B,330,2026-07-22,2026-08-12,Mixed Version,81
P2,B,330,2026-07-20,2026-08-10,Mixed Version,90
P2,B,330,2026-07-19,2026-08-09,Mixed Version,90
P2,B,330,2026-07-16,2026-08-06,Mixed Version,81
P2,B,330,2026-07-15,2026-08-05,Mixed Version,81
P2,B,330,2026-07-13,2026-08-03,Mixed Version,81
P2,B,330,2026-07-12,2026-08-03,Mixed Version,18
P2,B,330,2026-07-09,2026-08-02,Mixed Version,63
P2,C,330,2026-07-20,2026-08-10,Mixed Version,9
P2,C,330,2026-07-19,2026-08-09,Mixed Version,10
P2,C,330,2026-07-16,2026-08-06,Mixed Version,9
P2,C,330,2026-07-15,2026-08-05,Mixed Version,9
P2,C,330,2026-07-13,2026-08-03,Mixed Version,11
P2,C,330,2026-07-12,2026-08-02,Mixed Version,2
P2,C,330,2026-07-09,2026-07-30,Mixed Version,11
P2,C,330,2026-07-08,2026-07-29,Mixed Version,7
P2,C,330,2026-07-06,2026-07-27,Mixed Version,9
P2,C,330,2026-07-05,2026-07-26,Mixed Version,8
P2,C,330,2026-07-02,2026-07-23,Mixed Version,11
P2,C,330,2026-07-01,2026-07-22,Mixed Version,14
P3,A,770,2026-07-30,2026-08-20,Red Lettuce 3310,70
P3,A,770,2026-07-29,2026-08-19,Red Lettuce 3310,70
P3,A,770,2026-07-27,2026-08-20,Red Lettuce 3310,70
P3,A,770,2026-07-26,2026-08-19,Red Lettuce 3310,80
P3,A,770,2026-07-23,2026-08-17,Red Lettuce 3310,70
P3,A,770,2026-07-22,2026-08-16,Red Lettuce 3310,80
P3,A,770,2026-07-20,2026-08-16,Red Lettuce 3310,70
P3,A,770,2026-07-19,2026-08-13,Red Lettuce 3310,80
P3,A,770,2026-07-15,2026-08-12,Red Lettuce 3310,70
P3,A,770,2026-07-13,2026-08-10,Red Lettuce 3310,70
P3,A,770,2026-07-12,2026-08-09,Red Lettuce 3310,80
P3,A,770,2026-07-09,2026-08-06,Red Lettuce 3310,70
P3,A,770,2026-07-08,2026-08-05,Red Lettuce 3310,70
P3,A,770,2026-07-06,2026-08-03,Red Lettuce 3310,80
P3,A,770,2026-07-05,2026-08-02,Red Lettuce 3310,70
P3,B,264,2026-07-29,2026-08-20,Mixed Version,81
