chemical,crop,epa_registration,active_ingredients,frac_code,irac_code,phi_days,rei_hours,application_uom,maximum_quantity_per_acre,label_date,effective_date,expiration_date,dup_seq,dup_copies,is_redundant_copy,times_sprayed,last_sprayed,usage_bucket,compliance_id
Afirm Wdg,Cuke,68173-3-1001,,,,0,4,OZ,6.2,2026-07-12,2026-07-12,,1,1,False,0,,never used,df52be33-ece3-4ec9-a586-213005b5ae0f
Afirm Wdg (2),Lettuce,68173-3-1001,,,,0,4,OZ,15.5,2026-07-12,2026-07-12,,1,1,False,0,,never used,21c4b307-ce2a-4cb4-b98c-60799b94c1c6
Avid Abamectin .15 EC,Cuke,100-896,,,,0,12,FLOZ,16.0,2011-12-20,2011-12-20,,1,2,False,0,,never used,4067f90c-e66b-4318-b599-0e9d0ba11a93
Avid Abamectin .15 EC,Cuke,100-896,,,,0,12,FLOZ,16.0,2011-12-20,2011-12-20,,2,2,True,0,,never used,81f35446-4c14-4078-b489-11e9e8877ee5
Avid Abamectin .15 EC,Lettuce,100-896,,,,0,12,FLOZ,40.0,2011-12-20,2011-12-20,,1,1,False,0,,never used,e4728ba7-5f83-4307-b09e-dd9b944f484d
Avid Abamectin .15 EC (2),Lettuce,100-896,,,,0,12,FLOZ,40.0,2011-12-20,2011-12-20,,1,1,False,0,,never used,cec1a6db-3bb4-4d27-a166-8ff945033aac
Azatin O,Cuke,70051-9-59807,,,,0,4,FLOZ,16.0,2013-06-27,2013-06-27,,1,2,False,201,2026-07-17,used last 12mo,f8e2e21d-728a-4b23-8fce-16594f4e4925
Azatin O,Cuke,70051-9-59807,,,,0,4,FLOZ,16.0,2013-06-27,2013-06-27,,2,2,True,201,2026-07-17,used last 12mo,43be9775-4872-4151-964a-1a5cbf547828
Azatin O,Lettuce,70051-9-59807,,,,0,4,FLOZ,16.0,2013-06-27,2013-06-27,,1,2,False,201,2026-07-17,used last 12mo,8db18250-d5db-4436-8788-703b37b91fc4
Azatin O,Lettuce,70051-9-59807,,,,0,4,FLOZ,16.0,2013-06-27,2013-06-27,,2,2,True,201,2026-07-17,used last 12mo,aacc88cc-e5d1-424c-8f40-55d4ef6c3ad8
Azatin O (Lettuce),Lettuce,70051-9-59807,,,,0,4,FLOZ,20.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,a68ac51f-c6a8-4892-9266-caf38474716a
Azatin O (Lettuce),Lettuce,70051-9-59807,,,,0,4,FLOZ,20.0,,,,1,1,False,0,,never used,cd4bf70a-c72b-4428-9145-d22ff4b2090d
Azatin O (Lettuce) (2),Cuke,70051-9-59807,,,,0,4,FLOZ,8.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,e185f2df-30c3-46a5-aad2-c5e553a4a12b
Beleaf 50 SG,Cuke,71512-10-279,,,,0,12,OZ,2.8,2022-11-10,2022-11-10,,1,2,False,107,2026-07-17,used last 12mo,b00eb138-620d-4eb7-a14b-a1dff84a9a73
